Run#,Vessel,Colony,Time,Pressure_Pa,Pressure_atm,VesselVol,TermPreWet,TermVol,PercSurv,WoodLabel,WoodVol,WoodPreDry,WoodPreWet,WoodPostDry,HSVol,WoodPerH2O,WoodLoss,WoodPerLoss
2,4,WH3,40,98904,0.9761,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,48,98789,0.975,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,64,98689,0.974,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,72,98571,0.9728,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,88,98209,0.9692,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,96,98059,0.9678,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,112,98788,0.975,2086,4.65,4.51,,A5,60,30.422,39.629,29.895,2021,23.2,0.53,1.7
2,5,DW1,0,99414,0.9811,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,16,99497,0.982,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,24,99188,0.9789,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,40,99114,0.9782,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,48,98805,0.9751,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,64,98857,0.9756,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,72,98666,0.9738,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,88,98209,0.9692,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,96,98387,0.971,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,5,DW1,112,99194,0.979,2086,5.1,4.95,,A6,45,25.93,32.826,25.541,2036,21,0.39,1.5
2,7,,0,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,16,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,24,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,40,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,48,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,64,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,72,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,88,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,96,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,7,,112,,,1993,0,0,,,45,19.205,31.707,19.125,1948,39.4,0.08,0.4
2,8,,0,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,16,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,24,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,40,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,48,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,64,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,72,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,88,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,96,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
2,8,,112,,,2099,0,0,,,45,17.738,22.722,17.602,2054,21.9,0.14,0.8
3,3,OCM1,0,99516,0.9821,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,16,99915,0.9861,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,24,99603,0.983,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,40,99700,0.984,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,48,99264,0.9797,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,64,99175,0.9788,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,72,98773,0.9748,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,88,98673,0.9738,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,96,98280,0.9699,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,3,OCM1,112,98096,0.9681,2198,4.65,4.51,,F13,50,25.818,38.103,25.783,2143,32.2,0.04,0.2
3,6,OCM1,0,99803,0.985,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,16,99968,0.9866,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,24,99737,0.9843,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,40,99802,0.985,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,48,99420,0.9812,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,64,99242,0.9794,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,72,98872,0.9758,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,88,98748,0.9746,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,96,98450,0.9716,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,6,OCM1,112,98111,0.9683,1922,4.65,4.51,,A8,35,20.086,27.674,19.324,1882,27.4,0.76,3.8
3,7,,0,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,16,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,24,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,40,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,48,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,64,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,72,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,88,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,96,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,7,,112,,,1993,0,0,,,55,25.88,40.018,25.054,1938,35.3,0.83,3.2
3,8,,0,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,16,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,24,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,40,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,48,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,64,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,72,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,88,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,96,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
3,8,,112,,,2099,0,0,,,35,21.709,30.303,21.567,2064,28.4,0.14,0.6
